cantidad,direccion_proveedor,fecha_modificacion,fecha_vencimiento,id,nombre_descripcion,numero_proveedor,proveedor,stock_maximo,stock_minimo,unidades
111,Cra. 42 #22-32 ,1665440625,1670428211,1,Yams,+57 362 6262026,Brainverse,191,24,u
45,Cra. 22 #32-42 ,1664594933,1667702322,2,"Chilli Paste, Hot Sambal Oelek",+57 342 9282529,Jabbersphere,181,23,kg
132,Cra. 82 #92-12 ,1666382104,1669702244,3,"Napkin - Cocktail,beige 2 - Ply",+57 352 1202920,Centizu,199,24,u
58,Cra. 52 #62-52 ,1666484191,1669596606,4,"Wine - Red, Concha Y Toro",+57 332 4262623,Flashdog,190,25,u
143,Cra. 92 #92-82 ,1665767647,1670661991,5,Lighter - Bbq,+57 372 0292827,Demizz,191,24,u
113,Cra. 02 #92-22 ,1665431830,1669385542,6,Lamb - Bones,+57 342 0202126,Rhyloo,195,24,u
91,Cra. 52 #02-12 ,1666843075,1671589253,7,Tea - Herbal - 6 Asst,+57 382 4272527,Katz,187,22,b
47,Cra. 02 #42-82 ,1666116416,1668502044,8,Ice Cream Bar - Oreo Cone,+57 372 6262726,Podcat,185,24,u
123,Cra. 72 #32-42 ,1666208633,1667965480,9,Muffin - Banana Nut Individual,+57 302 3272422,Gabvine,187,20,u
28,Cra. 12 #32-12 ,1665261678,1669303333,10,Tomatoes - Cherry,+57 312 8272025,Cogilith,196,23,kg
157,Cra. 92 #92-32 ,1664650951,1668021396,11,"Pasta - Tortellini, Fresh",+57 352 4242523,Mynte,186,21,u
150,Cra. 92 #62-52 ,1665757225,1671823668,12,Cinnamon Rolls,+57 362 5252225,Realcube,185,21,u
102,Cra. 72 #32-32 ,1665388814,1670706293,13,Soup - Campbells Beef Noodle,+57 342 9242228,Livetube,199,22,u
116,Cra. 92 #62-62 ,1665654798,1670337130,14,"Trout - Hot Smkd, Dbl Fillet",+57 342 9232326,Tanoodle,181,22,lb
25,Cra. 02 #32-82 ,1666896596,1669654701,15,Wine - Sawmill Creek Autumn,+57 332 8202827,Avaveo,192,25,u
73,Cra. 32 #62-72 ,1666244527,1668642840,16,"Lamb - Loin, Trimmed, Boneless",+57 372 5232821,Voonder,180,25,u
45,Cra. 32 #82-42 ,1666568202,1670132794,17,Cake - Bande Of Fruit,+57 372 1292229,Minyx,197,24,b
123,Cra. 72 #82-82 ,1666887936,1668131088,18,Muffin Mix - Carrot,+57 302 0202323,Roombo,183,24,u
53,Cra. 82 #82-82 ,1666864267,1669246196,19,Lid Tray - 16in Dome,+57 362 5282023,Browsecat,182,21,kg
83,Cra. 92 #22-22 ,1664999034,1671074798,20,Sprouts - Onion,+57 302 5222128,Midel,197,25,kg
